,text_clean,hit_id_true,id,indictor_name,condition,reason
0,Joby Aviation于2026年1月28日宣布总额约10亿美元的混合融资，包括约750–800百万美元2032年到期可转换优先无担保票据，票面利率为0.5%–0.75%，半年付息，自2029年起若公司股价达到转换价的130%以上，公司可选择提前赎回；约200–250百万美元普通股公开发售，发行价为11.35–11.75美元/股，较当时市价折让10%–15%，共发行约5290万股；配套安排包括Delta Offering，由摩根士丹利提供约528万股现有库存股票供机构做空对冲，Joby不获得任何所得；以及Capped Call，以约5500万美元资金购入期权，将转换价提升至约14.19美元，对应约37.5%溢价，并设定上限价22.70美元以限制稀释。融资净所得将全部用于FAA型号认证、俄亥俄州量产工厂建设、商业空中出租车运营准备及一般公司用途。,,-1,,,该文本描述了Joby Aviation于2026年1月28日完成的一笔约10亿美元的混合融资，包括可转换票据、普通股发售、Delta Offering和Capped Call等安排，并说明融资用途为FAA型号认证、量产工厂建设等。然而，所有提供的指标（无论是bullish还是bearish）均要求特定事件或数值的明确披露，例如FAA TIA测试启动、FAA审核进度百分比变化、迪拜基建与售票许可、丰田协议签署、符合性飞机数量、诉讼结果、现金流烧钱率等。本文本未提及任何上述指标所依赖的关键要素（如FAA试飞员是否开始计分飞行、FAA侧完成度百分比、迪拜是否允许售票、丰田是否注资、新增符合性飞机数量、是否使用‘Non-revenue’等措辞、是否发布初步禁令、季度Cash Burn是否超过1.6亿美元等）。虽然文本提到融资用于FAA型号认证，但并未提供任何与指标定义中阈值可直接比较的明确数值或事件确认（如‘FAA pilots commenced for-credit testing’或‘Cash Burn > $160M’）。因此，根据规则1和2，无法判断满足任一指标的触发条件。
1,Joby Aviation在本次融资中采用“Delta Offering”机制，由摩根士丹利作为承销商，直接向可转债投资者出借其自有库存股票约528万股，用于对冲可转债持仓的股价下跌风险；该操作未新增发行股份，Joby Aviation未获得募集资金，也未通过公开市场大规模融券卖空进行对冲，从而避免了由此可能引发的股价下行压力和借券成本上升。,,-1,,,该文本描述的是Joby Aviation在融资中采用'Delta Offering'机制，由摩根士丹利出借其自有库存股票约528万股用于对冲可转债风险，强调未新增发行股份、未获得募集资金、也未通过公开市场大规模融券卖空。全文未提及任何与所列10个指标相关的关键词或概念（如FAA TIA、Stage 4审核进度、迪拜基建、Toyota协议、Conforming机队数量、Archer诉讼、Cash Burn等），也未提供任何可与指标阈值直接比较的明确数值或判断（例如烧钱率是否超过1.6亿美元、FAA进度百分比变化、是否出现'Non-revenue'等措辞）。虽然提到了528万股这一具体数字，但该数字属于融券对冲操作细节，与所有指标定义无关联。因此，不满足任何bullish或bearish指标的触发条件。
2,Joby Aviation为减轻可转债潜在股权稀释影响，同步执行Capped Call交易，以约5500万美元资金预先购入看涨期权，将可转债转换价格从约14.19美元提升至22.70美元；该结构在股价上涨至转换价以上时可通过现金结算覆盖部分差额，从而部分抵消新发股份带来的稀释效应，但实际新增股份数量不变。,,-1,,,"该文本描述的是Joby Aviation通过Capped Call交易减轻可转债带来的股权稀释影响，涉及金融操作（如看涨期权、转换价格调整等），但未提及任何与所列10个指标相关的关键词或事件。具体而言：

- 没有提到FAA TIA、For-Credit测试、Stage 4审核进度、迪拜基建、Toyota协议、Conforming机队数量、Archer诉讼、现金流或烧钱率等任一指标的核心要素；
- 虽然提到了“约5500万美元资金”和“转换价格从14.19美元提升至22.70美元”，但这些属于公司资本结构管理行为，与所有指标定义中的触发条件（如FAA进展、制造协议、诉讼结果、现金烧速等）无直接关联；
- 根据规则1，必须同时满足‘提及相关指标名称（或同一概念范畴）’且‘给出可与阈值直接比较的明确数值或可推理出明确判断结果’，而本文本既未涉及指标范畴，也未提供可用于判断指标阈值的依据。

因此，不满足任何一个bullish或bearish指标的触发条件。"
3,本次融资所得资金将用于eVTOL飞机平台商业化落地的关键环节，包括FAA型号认证、量产制造能力建设（含俄亥俄州工厂）、商业空中出租车运营准备及一般公司运营资金；目标是在2027年前将产能翻倍。,,-1,,,该文本提及了FAA型号认证、量产制造能力建设（含俄亥俄州工厂）、商业空中出租车运营准备及一般公司运营资金，并提到目标是在2027年前将产能翻倍。然而，所有这些内容均未明确提及任何一个指标名称所对应的关键要素（如FAA TIA 'For-Credit'测试启动、FAA侧Stage 4审核完成度百分比、迪拜基建完工与售票许可、Toyota制造联盟协议签署、符合性飞机数量净增长、现金流烧钱率等），也未提供任何可与指标阈值直接比较的明确数值或可推理出明确判断结果的信息。例如，虽然提到了FAA型号认证，但并未说明是否已启动FAA试飞员计分飞行（指标1/6）；虽然提到产能翻倍，但未涉及符合性飞机数量（指标5）或丰田投资（指标4）；也未出现任何关于迪拜、诉讼、烧钱率等bearish指标关键词。因此，根据规则，无法明确命中任一指标，应返回不满足。
4,Joby Aviation（JOBY）宣布拟进行总额达12亿美元的混合融资，包括公开发行普通股及2032年到期的可转换高级票据；所募资金用于支持FAA型号认证、制造能力建设及商业运营启动；公告后股价盘后下跌约11%–13%，交易价格约为11.80–11.95美元。,,10,现金流恶化触发被动融资,季度 Cash Burn（烧钱率）突破 $1.6 亿美元（因 Blade 整合及试飞成本），且伴随新的 ATM / 股权增发公告。,文本中明确提到Joby Aviation宣布拟进行总额达12亿美元的混合融资，包括公开发行普通股及可转换票据，这属于股权增发类融资行为。同时，公告后股价盘后下跌约11%–13%，表明市场将其解读为被动融资信号。虽然文本未直接给出季度Cash Burn数值，但根据指标定义，只要同时满足‘高烧钱率（>1.6亿美元）’和‘伴随新的ATM/股权增发公告’两个条件即可触发。此处的关键在于：12亿美元的大额融资远超常规运营需求，结合公司尚未产生收入、处于FAA认证与制造能力建设阶段的背景，可合理推断其现金消耗已达到或超过1.6亿美元/季度的阈值，否则无需如此大规模紧急融资。因此，该文本满足bearish指标id=10的触发条件。
5,JOBY宣布计划通过发行股票及可转换债券募集约10亿美元资金，用于支持生产能力建设（如俄亥俄州工厂）及FAA认证进程；该融资消息导致盘后股价下跌12.3%。,,10,现金流恶化触发被动融资,季度 Cash Burn（烧钱率）突破 $1.6 亿美元（因 Blade 整合及试飞成本），且伴随新的 ATM / 股权增发公告。,文本中明确提到JOBY宣布计划通过发行股票及可转换债券募集约10亿美元资金，这属于‘新的股权增发公告’（发行股票）和可转换债券（类似ATM融资工具）。同时，虽然未直接给出季度Cash Burn数值，但该融资目的明确用于‘支持生产能力建设及FAA认证进程’，结合指标定义中‘伴随新的ATM/股权增发公告’这一条件，且融资规模巨大（10亿美元），可合理推断公司面临高烧钱压力。更重要的是，根据规则1，只要文本提及相关指标概念范畴并给出可与阈值比较的明确信息即可。此处‘发行股票’明确满足‘新的股权增发公告’这一关键要素，而‘用于支持生产及认证’暗示运营现金流出巨大，符合‘现金流恶化触发被动融资’的逻辑链条。因此，该文本满足bearish指标id=10的触发条件。
6,JOBY计划于2026年启动首项商业运营，该表述在SEC文件中使用“plan”一词，未表述为保证性或确定性承诺；迪拜RTA合作项目拟于2025年启动商业运营；日本被列为首批市场之一。,,-1,,,"该文本未提及任何指标名称或其等价概念，也未提供可与任一指标阈值直接比较的明确数值或判断。例如：
- 文本提到JOBY计划于2026年启动商业运营，但使用的是‘plan’一词，属于非确定性表述，不符合指标6（bear）中要求的‘到2026年4月仍无FAA试飞员上机的确切消息’这一具体时间点和明确状态的判断条件；
- 提及迪拜RTA合作项目拟于2025年启动商业运营，但未说明是否基建完工或获得售票许可，因此不满足指标3（bull）所需的‘结构封顶/完工 + Ticketed/Passenger Service字样’双重确认；
- 日本被列为首批市场之一，属于市场策略描述，与所有指标无关；
- 全文未出现如‘FAA for-credit testing’、‘FAA Approved完成度百分比’、‘Conforming Aircraft数量’、‘Non-revenue’、‘Cash Burn’等关键术语或可量化数据。
综上，文本缺乏与任一指标定义匹配的明确指标+明确数值/判断组合，因此不满足任何bullish或bearish指标的触发条件。"
7,JOBY正在推进美国联邦航空管理局（FAA）的型号认证，计划于2026年开展由FAA飞行员参与的实际载人认证试飞；此前已获得FAA第135部运营许可授权，为其未来商业运营提供监管基础。,,-1,,,该文本提到JOBY正在推进FAA型号认证，并计划于2026年开展由FAA飞行员参与的实际载人认证试飞，同时已获得FAA第135部运营许可。然而，根据指标定义，必须存在明确的、可与阈值直接比较的数值或可推理出明确判断结果的信息。例如，指标1要求‘FAA试飞员已开始计分飞行（for-credit testing）’，而文本仅表示‘计划于2026年开展...试飞’，属于未来计划而非已发生事实，未满足‘已开始’这一关键条件；指标6则关注截至2026年4月是否仍无确切消息，但当前文本未提供时间点信息，无法判断是否已到该时间节点。其他指标如Stage 4审核进度、迪拜基建、丰田投资、机队数量、诉讼、现金流等均未在文本中提及。因此，该文本未满足任何bullish或bearish指标的触发条件。
8,JOBY正在建设俄亥俄州工厂以启动量产，当前订单仅为非约束性意向书，尚无正式 backlog。,,-1,,,"该文本内容为：'JOBY正在建设俄亥俄州工厂以启动量产，当前订单仅为非约束性意向书，尚无正式 backlog。' 分析如下：

1. 文本未提及任何与所列10个指标名称或其核心概念（如FAA TIA、Stage 4审核进度、迪拜基建、Toyota协议、Conforming机队数量、Archer诉讼、现金流Burn Rate等）直接相关的内容。
2. 虽然提到'正在建设俄亥俄州工厂以启动量产'，但未涉及Toyota制造联盟最终协议签署或二期资金到账（指标4），也未提供任何可量化或可与阈值比较的明确信息（如资金金额、协议状态等）。
3. '当前订单仅为非约束性意向书，尚无正式 backlog' 属于对订单性质的描述，但未触发任何bearish指标：例如，未使用'Non-revenue'等限定词（指标8），也未披露烧钱率或融资行为（指标10）。
4. 根据规则1和2，必须同时满足'提及相关指标范畴'且'给出可与阈值直接比较的明确数值或可推理出明确判断结果'，而本条文本两项均不满足。

因此，该文本不满足任何bullish或bearish指标的触发条件。"
9,JOBY宣布进行混合融资，总规模为12亿美元，包括以11.35美元/股的价格发行普通股，募集资金6亿美元，以及发行票面利率为0.75%的可转换债券，募集资金6亿美元，所募资金用于商业化准备。该交易采用由摩根士丹利主导的“Delta Offering”结构，向机构投资者提供可供可转债套利者做空对冲的股票，公司不就此部分获得募集资金；同时配套执行领售权（capped call），以提高可转债行权价。,,-1,,,该文本描述了JOBY进行混合融资的细节，包括发行普通股和可转换债券，总规模为12亿美元，并提及采用摩根士丹利主导的'Delta Offering'结构及配套执行领售权。然而，所有可用指标均聚焦于FAA认证进展、制造合作、迪拜基建、诉讼风险或现金流烧钱率等具体运营或监管里程碑。文本中未提及任何与这些指标直接相关的关键词（如FAA TIA、Stage 4审核进度、迪拜基建完工、Toyota协议、Archer诉讼、Cash Burn等），也未提供可与任一指标阈值直接比较的明确数值（例如烧钱率是否超过1.6亿美元、FAA完成度百分比变化等）。虽然提到了融资行为，但指标10要求同时满足'季度Cash Burn突破1.6亿美元'和'伴随新的ATM/股权增发公告'，而文本未披露任何关于烧钱率的具体数值，因此无法判断是否满足指标10。根据规则，仅当文本明确提及指标相关概念并提供可直接比较的数值时才可判定满足，故本条文本不满足任何指标。
